name,our_fhtw_lb,our_fhtw_ub,FraSMT_fhtw,Triangulator_fhtw,FraSMT_ghtw
Kakuro-medium-001-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-002-ext.xml.hg,2.0,2.0,2.0,2.0,
Kakuro-medium-003-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-004-ext.xml.hg,3.0,4.0,3.0,3.0,
Kakuro-medium-005-ext.xml.hg,2.9999995002610222,4.0,4.0,4.0,
Kakuro-medium-006-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-medium-007-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-008-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-medium-009-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-010-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-011-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-medium-012-ext.xml.hg,1,5.0,3.0,3.0,
Kakuro-medium-013-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-medium-014-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-015-ext.xml.hg,4.0,4.0,4.0,4.0,
Kakuro-medium-016-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-medium-017-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-medium-018-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-019-ext.xml.hg,3.0,4.0,-1,4.0,
Kakuro-medium-020-ext.xml.hg,3.0,4.0,-1,4.0,
Kakuro-medium-021-ext.xml.hg,3.0,3.0,3.0,-1,
Kakuro-medium-022-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-023-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-medium-024-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-025-ext.xml.hg,3.0,4.0,4.0,-1,
Kakuro-medium-026-ext.xml.hg,3.0,4.0,4.0,-1,
Kakuro-medium-027-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-medium-028-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-medium-029-ext.xml.hg,2.0,3.0,3.0,3.0,
Kakuro-medium-030-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-medium-031-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-medium-032-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-033-ext.xml.hg,3.0,4.0,-1,4.0,
Kakuro-medium-034-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-035-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-medium-036-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-medium-037-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-medium-038-ext.xml.hg,3.0,4.0,4.0,-1,
Kakuro-medium-039-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-medium-040-ext.xml.hg,3.0,4.0,4.0,4.0,
