name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,our_num_runs,our_tot_time
Kakuro-easy-128-ext.xml.hg,4.999998523862714,6.0,5,6.0,52,3600
Kakuro-easy-129-ext.xml.hg,3.046481178396072,6.0,4,6.0,50,3600
Kakuro-easy-130-ext.xml.hg,5.0,6.0,5,6.0,54,3600
Kakuro-easy-131-ext.xml.hg,3.9999999999999987,6.0,4,6.0,41,3600
Kakuro-easy-132-ext.xml.hg,4.88830752159877,8.0,5,8.0,50,3600
Kakuro-easy-133-ext.xml.hg,3.9999993336,6.0,4,6.0,51,3600
Kakuro-easy-134-ext.xml.hg,3.0,5.0,3,5.0,60,3093.43
Kakuro-easy-135-ext.xml.hg,4.0,4.0,4,4.0,60,2541.09
Kakuro-easy-136-ext.xml.hg,3.8925980688330077,7.0,4,7.0,50,3600
Kakuro-easy-138-ext.xml.hg,3.8037476686119596,5.0,4,5.0,37,3600
Kakuro-easy-139-ext.xml.hg,4.3044870263630255,6.0,5,6.0,50,3600
Kakuro-easy-142-ext.xml.hg,4.453266532647094,8.0,5,8.0,50,3600
Kakuro-easy-146-ext.xml.hg,4.871935816287447,8.0,5,8.0,50,3600
Kakuro-easy-148-ext.xml.hg,4.404143027715559,7.0,5,7.0,50,3600
Kakuro-easy-149-ext.xml.hg,4.0,5.0,4,5.0,56,3600
Kakuro-easy-150-ext.xml.hg,4.718347370021805,7.0,5,7.0,50,3600
Kakuro-easy-151-ext.xml.hg,4.957216806793913,8.0,5,8.0,50,3600
Kakuro-easy-152-ext.xml.hg,3.995270512272767,6.0,4,6.0,48,3600
Kakuro-easy-153-ext.xml.hg,3.2675221106830055,5.0,4,5.0,50,3600
Kakuro-easy-154-ext.xml.hg,5.0,5.0,5,5.0,60,2889.96
Kakuro-easy-155-ext.xml.hg,4.9999999236109725,6.0,5,6.0,60,3572.18
Kakuro-easy-156-ext.xml.hg,5.0,6.0,5,6.0,53,3600
Kakuro-easy-157-ext.xml.hg,4.0,5.0,4,5.0,55,3600
Kakuro-easy-161-ext.xml.hg,4.9999986462473895,7.0,5,7.0,52,3600
Kakuro-easy-162-ext.xml.hg,4.0,4.0,4,4.0,52,3600
Kakuro-easy-163-ext.xml.hg,4.540710586040022,8.0,5,8.0,50,3600
Kakuro-easy-164-ext.xml.hg,3.0923994038748126,5.0,4,5.0,36,3600
Kakuro-easy-165-ext.xml.hg,4.6882920721821675,8.0,5,8.0,50,3600
Kakuro-hard-000-ext.xml.hg,3.0,3.0,3,3.0,60,117.3
Kakuro-hard-001-ext.xml.hg,2.0,3.0,2,3.0,60,278.44
Kakuro-hard-002-ext.xml.hg,2.0,2.0,2,2.0,60,690.03
Kakuro-hard-003-ext.xml.hg,2.0,3.0,2,3.0,60,1022.67
Kakuro-hard-004-ext.xml.hg,3.0,3.0,3,3.0,60,1068.14
Kakuro-hard-005-ext.xml.hg,3.0,4.0,3,4.0,60,793.98
Kakuro-hard-006-ext.xml.hg,3.0,4.0,3,4.0,60,1091.94
Kakuro-hard-007-ext.xml.hg,3.0,3.0,3,3.0,60,1126.3
Kakuro-hard-008-ext.xml.hg,3.0,4.0,3,4.0,60,1021.78
Kakuro-hard-009-ext.xml.hg,3.0,3.0,3,3.0,60,792.75
