name,our_ghtw_lb,our_ghtw_ub,FraSMT_ghtw,Triangulator_ghtw,LogKDecomp_ghtw_lb,LogKDecomp_ghtw_ub
Kakuro-medium-008-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-009-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-010-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-011-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-012-ext.xml.hg,1,5.0,3,3,3,3
Kakuro-medium-013-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-014-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-015-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-medium-016-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-017-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-018-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-019-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-020-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-021-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-022-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-023-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-024-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-025-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-026-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-027-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-028-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-029-ext.xml.hg,2,3.0,3,3,3,3
Kakuro-medium-030-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-031-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-032-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-033-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-034-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-035-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-036-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-037-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-medium-038-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-039-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-medium-040-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-041-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-medium-042-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-043-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-044-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-045-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-medium-046-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-047-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-medium-048-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-medium-049-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-050-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-051-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-medium-052-ext.xml.hg,4,4.0,-1,4,4,4
Kakuro-medium-053-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-054-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-medium-055-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-056-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-057-ext.xml.hg,3,4.0,3,3,3,3
Kakuro-medium-058-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-medium-059-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-060-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-medium-061-ext.xml.hg,3,5.0,-1,4,4,4
Kakuro-medium-063-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-064-ext.xml.hg,3,4.0,-1,4,4,4
