name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,FraSMT_fhtw,Triangulator_fhtw,FraSMT_ghtw,Triangulator_ghtw,LogKDecomp_ghtw_lb,LogKDecomp_ghtw_ub,htdLeo_htw
Pi-40-10-07948-40-74.xml.hg,5.5,7.0,6,7.0,6.0,6.0,-1,6,6,6,6
Pi-40-10-07948-40-75.xml.hg,6.0,7.0,6,8.0,-1,6.5,-1,7,6,7,inf
Pi-40-10-07948-40-76.xml.hg,5.5,7.0,6,7.0,6.0,6.0,-1,6,6,6,6
Pi-40-10-07948-40-77.xml.hg,6.0,7.5,6,8.0,-1,6.5,-1,7,6,7,inf
Pi-40-10-07948-40-78.xml.hg,6.0,7.5,6,8.0,-1,6.5,-1,7,6,7,inf
Pi-40-10-07948-40-79.xml.hg,6.0,6.5,6,7.0,6.0,6.0,-1,6,6,6,inf
Pi-40-10-07948-40-80.xml.hg,5.0,6.0,5,6.0,5.5,5.5,-1,6,6,6,6
Pi-40-10-07948-40-81.xml.hg,6.0,7.0,6,7.0,6.5,6.5,-1,7,7,7,inf
Pi-40-10-07948-40-82.xml.hg,5.5,6.5,6,7.0,6.0,6.0,-1,6,6,6,6
Pi-40-10-07948-40-83.xml.hg,6.0,8.0,6,8.0,-1,7.0,-1,7,6,7,inf
Pi-40-10-07948-40-84.xml.hg,5.0,7.5,5,8.0,-1,6.5,-1,7,7,7,inf
Pi-40-10-07948-40-85.xml.hg,5.5,7.0,6,7.0,-1,6.5,-1,7,7,7,inf
Pi-40-10-07948-40-86.xml.hg,5.0,6.5,5,7.0,6.0,6.0,-1,6,6,6,6
Pi-40-10-07948-40-87.xml.hg,6.0,8.0,6,8.0,-1,6.5,-1,7,6,7,inf
Pi-40-10-07948-40-88.xml.hg,6.0,7.0,6,8.0,6.0,6.0,-1,6,6,6,6
Pi-40-10-07948-40-89.xml.hg,5.5,7.5,6,8.0,6.5,6.5,-1,7,7,7,inf
Pi-40-10-07948-40-90.xml.hg,6.0,7.0,6,7.0,-1,7.0,-1,7,6,7,inf
Pi-40-10-07948-40-91.xml.hg,6.0,7.5,6,8.0,-1,7.0,-1,7,7,7,inf
Pi-40-10-07948-40-92.xml.hg,6.0,7.5,6,8.0,6.5,6.5,-1,7,7,7,inf
Pi-40-10-07948-40-93.xml.hg,5.5,7.0,6,7.0,6.0,6.0,-1,6,6,6,6
Pi-40-10-07948-40-94.xml.hg,5.4999987636358965,7.0,6,7.0,6.0,6.0,-1,6,6,6,6
Pi-40-10-07948-40-95.xml.hg,6.0,7.5,6,8.0,-1,7.0,-1,7,7,7,inf
Pi-40-10-07948-40-96.xml.hg,5.9999993889904175,7.0,6,7.0,6.0,6.0,-1,6,6,6,6
Pi-40-10-07948-40-97.xml.hg,6.0,7.0,6,7.0,-1,6.5,-1,7,6,7,inf
Pi-40-10-07948-40-98.xml.hg,5.5,7.0,6,7.0,6.0,6.0,-1,6,6,6,inf
Pi-40-10-07948-40-99.xml.hg,5.5,7.0,6,7.0,-1,6.5,-1,7,7,7,inf
Renault-souffleuse-pos.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,inf
Renault-souffleuse.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,inf
STB-128-q1.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q10.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q11.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q12.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q13.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q14.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q15.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q16.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q17.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q18.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q19.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q2.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q20.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q3.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q4.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q5.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q6.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q7.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q8.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
STB-128-q9.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
adder_15.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
adder_25.hg,1.0714285714285714,2.0,2,2.0,2.0,2.0,2,2,2,2,inf
adder_50.hg,1.0294117647058822,2.0,2,2.0,2.0,2.0,2,2,2,2,inf
adder_75.hg,1,2.0,1,2.0,2.0,2.0,2,2,2,2,inf
adder_99.hg,1,2.0,1,2.0,2.0,2.0,2,2,2,2,inf
aim-50-1-6-sat-1.xml.hg,6.0,8.5,6,9.0,-1,-1,-1,-1,7,8,inf
aim-50-1-6-sat-2.xml.hg,6.5,8.0,7,9.0,-1,-1,-1,8,7,8,inf
aim-50-1-6-sat-3.xml.hg,6.0,9.0,6,9.0,-1,-1,-1,-1,7,8,inf
aim-50-1-6-sat-4.xml.hg,6.0,8.666666666666666,6,9.0,-1,-1,-1,-1,7,8,inf
aim-50-1-6-unsat-1.xml.hg,6.666665704610144,8.0,7,8.0,-1,-1,-1,7,7,7,inf
aim-50-1-6-unsat-2.xml.hg,3.5193929858617063,8.5,4,10.0,-1,-1,-1,-1,7,8,inf
aim-50-1-6-unsat-3.xml.hg,6.0,8.0,6,8.0,-1,-1,-1,-1,7,8,inf
aim-50-1-6-unsat-4.xml.hg,3.614432735718061,9.5,4,11.0,-1,-1,-1,-1,7,9,inf
aim-50-1_6-no-3.hg,6.0,8.0,6,8.0,-1,-1,-1,-1,7,8,inf
aim-50-2-0-sat-1.xml.hg,3.506566592251782,10.0,4,11.0,-1,-1,-1,-1,7,10,inf
aim-50-2-0-sat-2.xml.hg,3.3779517860328565,10.0,4,11.0,-1,-1,-1,-1,6,10,inf
aim-50-2-0-sat-3.xml.hg,3.510709268111667,10.0,4,11.0,-1,-1,-1,-1,6,9,inf
aim-50-2-0-sat-4.xml.hg,3.4536819528932683,9.5,4,10.0,-1,-1,-1,-1,6,9,inf
aim-50-2-0-unsat-1.xml.hg,3.653880161449209,11.166666666666666,4,13.0,-1,-1,-1,-1,6,inf,inf
aim-50-2-0-unsat-2.xml.hg,3.596525784708481,10.428571428571429,4,13.0,-1,-1,-1,-1,7,inf,inf
aim-50-2-0-unsat-3.xml.hg,3.6049198433515452,10.923076923076923,4,13.0,-1,-1,-1,-1,7,inf,inf
aim-50-2-0-unsat-4.xml.hg,3.4918666684764124,10.571428571428571,4,11.0,-1,-1,-1,-1,6,10,inf
aim-50-2_0-no-3.hg,3.599400097515049,10.0,4,12.0,-1,-1,-1,-1,7,10,inf
aim-50-2_0-yes1-3.hg,3.3684972122757046,9.686274509803921,4,11.0,-1,-1,-1,-1,6,9,inf
aim-50-3_4-yes1-3.hg,4.046475771641768,13.0,5,16.0,-1,-1,-1,-1,5,inf,inf
atv_partial_system.hg,2.0,3.0,2,3.0,3.0,3.0,3,3,3,3,3
b02.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
b06.hg,3.75,4.0,4,4.0,4.0,4.0,4,4,4,4,4
bridge_15.hg,2.0,2.0,2,2.0,-1,2.0,-1,2,2,2,inf
bridge_25.hg,2.0,2.0,2,2.0,-1,2.0,-1,2,2,2,inf
bridge_50.hg,2.0,2.0,2,2.0,-1,-1,-1,2,2,2,inf
bridge_75.hg,2.0,2.0,2,2.0,-1,-1,-1,2,2,2,inf
bridge_99.hg,2.0,2.0,2,2.0,-1,-1,-1,2,2,2,inf
clique_15.hg,6.0,7.5,6,8.0,-1,7.5,-1,8,8,8,inf
cnf-2-40-0100-730621.xml.hg,6.0,7.0,6,7.0,6.0,6.0,-1,6,6,6,inf
cnf-2-40-0100-730622.xml.hg,5.5,6.5,6,7.0,6.0,6.0,-1,6,6,6,6
cnf-2-40-0100-730623.xml.hg,5.9999998454169425,6.5,6,7.0,6.0,6.0,-1,6,6,6,6
cnf-2-40-0100-730624.xml.hg,5.5,7.0,6,7.0,6.0,6.0,-1,6,6,6,6
cnf-2-40-0100-730625.xml.hg,5.9999986666666665,7.0,6,7.0,-1,6.5,-1,7,7,7,inf
cnf-2-40-0100-730626.xml.hg,5.0,6.0,5,6.0,6.0,6.0,-1,6,6,6,6
cnf-2-40-0100-730627.xml.hg,6.0,7.0,6,7.0,-1,6.5,-1,7,7,7,inf
cnf-2-40-0100-730628.xml.hg,6.0,7.0,6,7.0,6.0,6.0,-1,6,6,6,6
cnf-2-40-0100-730629.xml.hg,5.5,6.5,6,7.0,6.0,6.0,-1,6,6,6,6
cnf-2-40-0100-730630.xml.hg,5.999999866044749,7.5,6,8.0,-1,7.0,-1,7,7,7,inf
cnf-2-80-0100-735541.xml.hg,5.0,5.0,5,5.0,5.0,5.0,-1,5,5,5,inf
cnf-2-80-0100-735542.xml.hg,5.0,5.0,5,5.0,5.0,5.0,-1,5,5,5,5
cnf-2-80-0100-735543.xml.hg,5.0,6.0,5,6.0,-1,-1,-1,6,6,6,inf
cnf-2-80-0100-735544.xml.hg,4.0,5.0,4,5.0,5.0,5.0,-1,5,5,5,inf
cnf-2-80-0100-735545.xml.hg,4.0,5.0,4,5.0,5.0,5.0,-1,5,5,5,5
cnf-2-80-0100-735546.xml.hg,5.0,6.0,5,6.0,5.0,5.0,-1,5,5,5,inf
cnf-2-80-0100-735547.xml.hg,5.0,6.0,5,6.0,6.0,6.0,-1,6,6,6,inf
cnf-2-80-0100-735548.xml.hg,4.0,5.0,4,5.0,4.5,4.5,-1,5,5,5,inf
cnf-2-80-0100-735549.xml.hg,4.0,4.0,4,4.0,4.0,4.0,-1,4,4,4,inf
cnf-2-80-0100-735550.xml.hg,4.0,4.5,4,5.0,4.5,4.5,-1,5,5,5,5
cnf-3-40-0100-730621.xml.hg,3.257634557608381,9.208333333333334,4,11.0,-1,8.389,-1,9,6,9,inf
cnf-3-40-0100-730622.xml.hg,3.1531833527442283,8.333333333333334,4,10.0,-1,7.429,-1,8,6,8,inf
cnf-3-40-0100-730623.xml.hg,3.2275876160668098,9.222222222222221,4,12.0,-1,8.333,-1,9,6,10,inf
cnf-3-40-0100-730624.xml.hg,2.971892248555817,8.333333333333332,3,10.0,-1,7.417,-1,8,6,8,inf
cnf-3-40-0100-730625.xml.hg,3.1697432520758917,9.0,4,11.0,-1,8.3,-1,9,6,9,inf
cnf-3-40-0100-730626.xml.hg,3.1404701382309983,9.0,4,11.0,-1,7.588,-1,8,6,8,inf
cnf-3-40-0100-730627.xml.hg,3.3000765932987717,9.03125,4,11.0,-1,8.154,-1,9,6,9,inf
cnf-3-40-0100-730628.xml.hg,3.0142853805874092,8.216216216216216,4,11.0,-1,7.731,-1,8,6,8,inf
cnf-3-40-0100-730629.xml.hg,3.196148214430642,9.238095238095237,4,12.0,-1,8.043,-1,9,6,9,inf
cnf-3-40-0100-730630.xml.hg,3.153717948642563,9.0,4,11.0,-1,8.047,-1,9,6,9,inf
cnf-3-80-0100-735541.xml.hg,4.343088770278994,12.833333333333334,5,13.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735542.xml.hg,3.978497388558123,12.333333333333334,4,13.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735543.xml.hg,4.422554999233292,13.0,5,14.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735544.xml.hg,3.87701711474382,12.0,4,13.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735545.xml.hg,4.1341517886196115,12.75,5,14.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735546.xml.hg,3.9979167345520845,12.0,4,13.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735547.xml.hg,4.416841857813103,11.666666666666666,5,12.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735548.xml.hg,3.808223460441487,13.5,4,14.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735549.xml.hg,4.415056164579851,11.875,5,13.0,-1,-1,-1,-1,6,inf,inf
cnf-3-80-0100-735550.xml.hg,4.051884635852728,11.0,5,12.0,-1,-1,-1,-1,6,inf,inf
cril-0_X2.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
deep100-q01.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q02.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q03.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q04.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q05.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q06.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q07.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q08.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q09.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q10.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q11.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q12.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q13.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q14.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q15.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q16.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q17.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q18.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q19.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep100-q20.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q01.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q02.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q03.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q04.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q05.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q06.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q07.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q08.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q09.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q10.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q11.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q12.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q13.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q14.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q15.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q16.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q17.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q18.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q19.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep200-q20.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
deep300-queries.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors100k-q08.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors100k-q09.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors10k-q08.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors10k-q09.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors1m-q08.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors1m-q09.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors500k-q01.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors500k-q02.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors500k-q03.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors500k-q04.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors500k-q05.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors500k-q07.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors500k-q08.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
doctors500k-q09.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
dubois20.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
dubois21.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
dubois23.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
dubois25.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
dubois27.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
dubois28.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
dubois29.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
dubois30.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
flat30-1.hg,4.740249964687661,10.0,5,10.0,-1,-1,-1,-1,5,9,inf
flat30-99.hg,4.401415934122741,12.0,5,12.0,-1,-1,-1,-1,5,10,inf
grid2d_10.hg,4.0,4.0,4,4.0,4.0,4.0,4,4,4,4,4
grid2d_15.hg,5.0,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
grid2d_20.hg,5.234369422225974,7.0,6,7.0,-1,-1,-1,-1,5,8,inf
grid2d_25.hg,6.619877781936702,9.0,7,9.0,-1,-1,-1,-1,4,inf,inf
grid2d_30.hg,7.931878618532055,11.0,8,11.0,-1,-1,-1,-1,4,inf,inf
grid2d_35.hg,1,18.0,1,18.0,-1,-1,-1,-1,4,inf,inf
grid2d_40.hg,7.644023098220255,15.0,8,15.0,-1,-1,-1,-1,3,inf,inf
grid2d_45.hg,1,22.0,1,22.0,-1,-1,-1,-1,3,inf,inf
grid2d_50.hg,1,24.0,1,24.0,-1,-1,-1,-1,3,inf,inf
grid2d_60.hg,1,34.0,1,34.0,-1,-1,-1,-1,3,inf,inf
grid2d_70.hg,1,44.0,1,44.0,-1,-1,-1,-1,3,inf,inf
grid2d_75.hg,1,38.0,1,38.0,-1,-1,-1,-1,3,inf,inf
grid3d_5.hg,5.999997998155555,7.0,6,8.0,-1,-1,-1,-1,7,7,inf
grid4d_3.hg,5.0,6.0,5,7.0,6.0,6.0,-1,6,6,6,6
grid5.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
hg_adlerexample.txt,2.0,2.0,2,2.0,,,,,3,3,3
hole9.hg,6.0,10.0,6,10.0,-1,-1,-1,-1,4,10,inf
job-10a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-11a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-12a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-13a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-14a.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
job-15a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-16a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-17a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-18a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-19a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-1a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-20a.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
job-21a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-22a.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
job-23a.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
job-24a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-25a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-26a.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
job-27a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-28a.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
job-29a.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
job-2a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-30a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-31a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-32a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-33a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-3a.hg,1.0000000000153846,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-4a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-5a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-6a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-7a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-8a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
job-9a.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q1.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q10.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q11.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q12.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q13.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q14.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,inf
lubm-q2.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
lubm-q3.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q4.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q5.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q6.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,inf
lubm-q7.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q8.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
lubm-q9.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
mdd-7-25-5-56-01.xml.hg,3.222929936305732,3.428571428571433,4,5.0,3.367,3.367,4,4,4,4,4
mdd-7-25-5-56-02.xml.hg,3.1333983422720624,3.328724666865413,4,5.0,-1,3.329,-1,5,5,5,5
mdd-7-25-5-56-03.xml.hg,3.2081585081585082,3.428571428571429,4,5.0,3.429,3.429,4,4,4,4,4
mdd-7-25-5-56-04.xml.hg,3.184078964235354,3.326202118989405,4,5.0,3.326,3.326,4,4,4,4,4
mdd-7-25-5-56-05.xml.hg,3.192602150104078,3.5714285714285716,4,5.0,3.482,3.482,-1,5,5,5,5
mdd-7-25-5-56-06.xml.hg,3.1590224693073896,3.3876876112948358,4,5.0,3.388,3.388,4,4,4,4,4
mdd-7-25-5-56-07.xml.hg,3.0847736625514406,3.4285714285714293,4,5.0,3.429,3.429,4,4,4,4,4
mdd-7-25-5-56-08.xml.hg,3.1824015796618537,3.4432063556732526,4,5.0,3.443,3.443,4,4,4,4,4
mdd-7-25-5-56-09.xml.hg,3.0527777777777767,3.3209998057372276,4,5.0,3.321,3.321,4,4,4,4,4
mdd-7-25-5-56-10.xml.hg,3.2230962542193935,3.4400550929693856,4,5.0,-1,3.44,4,4,4,4,4
mdd-7-25-5-56-11.xml.hg,3.1621489809538477,3.3395630491569697,4,5.0,3.34,3.34,4,4,4,4,4
mdd-7-25-5-56-12.xml.hg,3.1425111536010197,3.361081234314682,4,5.0,3.361,3.361,4,4,4,4,4
mdd-7-25-5-56-13.xml.hg,3.179542981501632,3.428571428571429,4,5.0,-1,3.429,4,4,4,4,4
mdd-7-25-5-56-14.xml.hg,3.1670832532205346,3.3454038997214486,4,5.0,-1,3.345,4,4,4,4,4
mdd-7-25-5-56-15.xml.hg,3.150904919704308,3.4285714285714284,4,5.0,3.429,3.429,4,4,4,4,4
mdd-7-25-5-56-16.xml.hg,3.15878416695021,3.4631254061078622,4,5.0,3.401,3.401,4,4,4,4,4
mdd-7-25-5-56-17.xml.hg,3.2070742390224156,3.4285714285714293,4,5.0,3.429,3.429,4,4,4,4,4
mdd-7-25-5-56-18.xml.hg,3.1633880825057297,3.428571428571429,4,5.0,3.429,3.429,4,4,4,4,4
mdd-7-25-5-56-19.xml.hg,3.080984233158146,3.428571428571429,4,5.0,-1,3.429,4,4,4,4,4
mdd-7-25-5-56-20.xml.hg,3.084302325581395,3.428571428571429,4,5.0,-1,3.429,4,4,4,4,4
mdd-7-25-5-56-21.xml.hg,3.1342045218834267,3.4285714285714284,4,5.0,3.429,3.429,4,4,4,4,4
mdd-7-25-5-56-22.xml.hg,3.0913796984019806,3.4285714285714284,4,5.0,-1,3.429,4,4,4,4,4
mdd-7-25-5-56-23.xml.hg,3.082815734989648,3.4285714285714275,4,5.0,-1,3.429,-1,5,5,5,5
mdd-7-25-5-56-24.xml.hg,3.209017825934988,3.469890033164601,4,5.0,3.459,3.459,4,4,4,4,4
mdd-7-25-5-56-25.xml.hg,3.1456743002544534,3.3937229844014283,4,5.0,3.394,3.394,4,4,4,4,4
mdd-7-25-5-ps05-psh07-1.xml.hg,3.1976948935489036,3.428571428571429,4,5.0,-1,3.429,4,4,4,4,4
mdd-7-25-5-ps05-psh07-2.xml.hg,3.203592065437627,3.3790798269760125,4,5.0,3.37,3.37,4,4,4,4,4
mdd-7-25-5-ps05-psh07-3.xml.hg,3.218009478672986,3.377697841726619,4,5.0,3.378,3.378,4,4,4,4,4
mdd-7-25-5-ps05-psh07-4.xml.hg,3.2095238095238097,3.4285714285714293,4,5.0,-1,3.429,4,4,4,4,4
mdd-7-25-5-ps05-psh07-5.xml.hg,3.143037974683545,3.3337533602150535,4,4.0,3.334,3.334,4,4,4,4,4
mdd-7-25-5-ps05-psh07-6.xml.hg,3.078736105393166,3.4285714285714284,4,5.0,3.326,3.326,4,4,4,4,4
mdd-7-25-5-ps05-psh07-7.xml.hg,3.0513507219375873,3.428571428571429,4,5.0,3.429,3.429,4,4,4,4,4
mdd-7-25-5-ps05-psh07-8.xml.hg,3.2151639344262293,3.4407593390560853,4,5.0,3.441,3.441,4,4,4,4,4
mdd-7-25-5-ps05-psh07-9.xml.hg,3.1213045966049973,3.428571428571429,4,5.0,3.429,3.429,4,4,4,4,4
mdd-7-25-5-ps05-psh09-0.xml.hg,3.092402464065709,3.3375474083438688,4,5.0,3.338,3.338,4,4,4,4,4
mdd-7-25-5-ps05-psh09-1.xml.hg,3.1449806556709428,3.4285714285714284,4,5.0,3.429,3.429,-1,5,5,5,inf
